epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,598.052,0.67277,0.77977,0.93452,0.99349,1,0.995,0.88759,0.46921,1.04904,0.85487,0.000957358,0.000957358,0.000957358
45,611.32,0.7112,0.95994,1.07788,0.99349,1,0.995,0.88759,0.46921,1.04904,0.85487,0.000940855,0.000940855,0.000940855
46,624.639,0.68833,0.80363,0.9563,0.99474,1,0.995,0.89646,0.50827,1.09065,0.85787,0.000924352,0.000924352,0.000924352
47,638.007,0.61492,0.79942,0.94101,0.99512,1,0.995,0.86068,0.51762,1.08733,0.85874,0.000907848,0.000907848,0.000907848
48,651.317,0.57423,0.80971,0.86141,0.99423,1,0.995,0.86134,0.52264,1.06917,0.85613,0.000891345,0.000891345,0.000891345
49,664.568,0.64147,0.89238,0.96644,0.99423,1,0.995,0.86134,0.52264,1.06917,0.85613,0.000874842,0.000874842,0.000874842
50,677.973,0.59269,0.71166,0.92451,0.99221,1,0.995,0.85821,0.53293,1.07012,0.85764,0.000858338,0.000858338,0.000858338
51,691.444,0.57175,0.84196,0.929,0.98884,1,0.995,0.8955,0.52052,1.11939,0.84801,0.000841835,0.000841835,0.000841835
52,704.833,0.5893,0.73658,0.93658,0.98733,1,0.995,0.87464,0.56623,1.17868,0.86594,0.000825332,0.000825332,0.000825332
53,718.272,0.73118,0.79144,0.93442,0.98733,1,0.995,0.87464,0.56623,1.17868,0.86594,0.000808828,0.000808828,0.000808828
54,731.722,0.60879,0.72963,0.91849,0.98941,1,0.995,0.83142,0.61839,1.15054,0.8883,0.000792325,0.000792325,0.000792325
55,745.078,0.5728,0.72758,0.95151,0.99057,1,0.995,0.85691,0.57912,1.12576,0.8759,0.000775822,0.000775822,0.000775822
56,758.413,0.55603,0.74158,0.90474,0.99044,1,0.995,0.86657,0.56766,1.07847,0.87363,0.000759318,0.000759318,0.000759318
57,771.756,0.72902,0.82699,0.99748,0.99044,1,0.995,0.86657,0.56766,1.07847,0.87363,0.000742815,0.000742815,0.000742815
58,785.128,0.7393,0.74919,1.02114,0.98772,1,0.995,0.85523,0.61396,1.0665,0.88985,0.000726312,0.000726312,0.000726312
59,798.579,0.59441,0.692,0.95654,0.9828,1,0.995,0.81547,0.69379,1.06314,0.91396,0.000709809,0.000709809,0.000709809
60,811.957,0.57004,0.65523,0.89087,0.9822,1,0.995,0.7953,0.69496,1.01123,0.91665,0.000693305,0.000693305,0.000693305
61,825.502,0.55661,0.66588,0.89836,0.9822,1,0.995,0.7953,0.69496,1.01123,0.91665,0.000676802,0.000676802,0.000676802
62,838.993,0.55258,0.70091,0.91649,0.98765,1,0.995,0.79429,0.66273,0.97712,0.9085,0.000660299,0.000660299,0.000660299
